t,ia,ib,ic,vsq,vsd,speed,angle,output
3.2,-85.34013734,50.62130783,34.71882951,93.13060288,106.4269271,-432.4771868,117.727642,1
3.21,-52.83094706,95.47960903,-42.64866197,-71.29627388,214.694335,-465.2074933,113.6348443,1
3.22,115.6930315,-216.2358296,100.5427981,-68.27367609,-230.2894932,-458.1330284,109.129182,1
3.23,-236.631511,266.5689012,-29.93739023,-140.0457599,-104.5614306,-387.9136032,103.8626627,1
3.24,160.4670723,-138.013236,-22.4538363,78.53671611,32.88436614,-730.2626176,97.86837598,1
3.25,-85.39905179,51.63538596,33.76366584,69.59719757,123.1106417,-762.5043294,90.97302028,1
3.26,13.04382414,111.1533643,-124.1971884,-43.89590688,-221.9233325,-812.0792849,83.13329134,1
3.27,96.03553376,-166.372389,70.33685522,182.5630754,-156.0937828,-986.5907821,74.28375952,1
3.28,-181.3112193,237.4808112,-56.16959194,9.584708811,-174.5108621,-1035.997633,64.34667254,1
3.29,224.2762355,-136.6514248,-87.6248107,-84.80002986,7.638864421,-1153.459666,53.22227371,1
3.3,-126.1673658,86.64661208,39.52075367,141.1659676,8.495268644,-1278.895665,40.95657749,1
3.31,-22.34803913,60.19069654,-37.84265741,100.5990497,202.6243997,-1433.679245,27.43640949,1
3.32,119.2668501,-151.540154,32.27330382,178.1978259,161.0592449,-1579.883226,12.66212272,1
3.33,-165.021204,202.8338749,-37.81267088,126.9546257,-120.1184027,-1698.192572,-3.38711746,1
3.34,246.7426955,-172.3033938,-74.43930167,-72.58035208,-44.51392822,-1765.118549,-20.76514965,1
3.35,-80.94126046,50.31971336,30.6215471,42.36048636,134.928089,-1951.024458,-39.45565654,1
3.36,-47.93503306,133.27587,-85.34083697,-224.2512005,-29.80294004,-2058.404496,-59.49832595,1
3.37,125.8835164,-225.4554453,99.57192887,-108.3564417,-214.3675047,-2185.657014,-80.89222343,1
3.38,-194.20081,253.239716,-59.03890603,-39.50437939,-170.2507317,-2324.983553,-103.657817,1
3.39,230.1272142,-211.239099,-18.88811522,-9.834470687,-84.57352127,-2451.934616,-127.8055218,1
3.4,-140.7438596,28.45928002,112.2845796,-41.11389572,-135.3131464,-2612.173013,-153.3406967,1
3.41,-59.52802897,108.3496617,-48.82163273,-187.8783166,126.0101358,-2760.130822,-180.2689142,1
3.42,100.0487937,-154.3083517,54.25955797,237.2040452,-37.79929211,-2923.280618,-208.5969224,1
3.43,-252.0207548,226.8710904,25.14966446,-166.9630586,51.66473365,-3021.378235,-238.3355792,1
3.44,165.5643698,-179.2786701,13.7143003,75.56011294,-39.24368289,-3187.272847,-269.4790752,1
3.45,-70.48667724,20.54274461,49.94393263,-96.76187306,103.1365111,-3337.814348,-302.043074,1
3.46,-38.64162301,132.1255602,-93.48393724,-209.1077371,-86.31784563,-3459.952912,-336.0233192,1
3.47,139.6119952,-232.4907054,92.87871027,-160.5990415,-178.6126911,-3593.164444,-371.4234616,1
3.48,-227.1764804,267.6732844,-40.49680401,-126.3217861,-120.7837489,-3728.972162,-408.2473533,1
3.49,239.7971226,-184.4037521,-55.39337051,-63.27471391,-56.97111456,-3876.935767,-446.4966737,1
3.5,-103.3486035,6.799631669,96.54897186,-119.8038777,-75.14672899,-4038.670557,-486.170617,1
3.51,-50.87102311,79.92441956,-29.05339644,-89.24302207,207.8761631,-4183.889181,-527.2712795,1
3.52,91.69877748,-157.93903,66.24025255,212.5597432,-111.8610794,-4335.317451,-569.7984757,1
3.53,-247.3791793,225.7411496,21.6380297,-166.8807766,51.92989558,-4451.884856,-613.7555041,1
3.54,151.9813354,-162.7897265,10.8083911,84.88992795,-6.564864598,-4616.612115,-659.137025,1
3.55,-80.59630766,6.136686441,74.45962122,-141.3701697,-3.804618836,-4756.426858,-705.9487757,1
3.56,20.35950689,87.30382243,-107.6633293,32.55666228,-223.8679966,-4892.102992,-754.186074,1
3.57,93.49656395,-156.3762519,62.87968792,214.023253,-109.0348234,-5047.471716,-803.8504411,1
3.58,-161.8322921,187.2487108,-25.41641878,174.6990792,-5.11266783,-5194.086657,-854.9408464,1
3.59,148.1378231,-145.5900663,-2.54775685,76.48925564,37.40041558,-5333.133657,-907.4558345,1
3.6,-85.89294773,74.76475873,11.128189,99.17122774,100.8219598,-5467.15933,-961.3948653,1
3.61,22.46152317,47.88082225,-70.34234542,205.0296414,-95.60158124,-5609.905615,-1016.756578,1
3.62,145.3651469,-232.0939865,86.72883959,-180.7642232,-158.1734528,-5737.212358,-1073.539518,1
3.63,-180.2792868,174.8790212,5.400265666,40.25775061,170.0741637,-5900.906558,-1131.742906,1
3.64,191.8897023,-209.7191047,17.82940245,33.00877944,-78.48450671,-6024.38958,-1191.363105,1
3.65,-63.00301509,20.9804906,42.0225245,-107.0860238,92.37198441,-6179.930825,-1252.401231,1
3.66,0.183636781,104.9787789,-105.1624157,-63.05165646,-217.2586127,-6312.231632,-1314.853645,1
3.67,86.11802661,-158.126281,72.00825435,192.3397901,-143.8747743,-6463.408907,-1378.719133,1
3.68,-158.5397913,185.7137939,-27.17400256,174.7730741,-0.529358731,-6608.961576,-1443.996026,1
3.69,144.2296264,-142.5796514,-1.649975024,69.4936639,49.19378001,-6747.679946,-1510.681929,1
3.7,-74.30788193,68.52941638,5.778465546,73.72490434,120.684044,-6882.052484,-1578.77501,1
3.71,16.89291885,40.72725468,-57.62017353,221.2453819,-47.19424916,-7022.790473,-1648.273239,1
3.72,137.5408866,-227.4648793,89.9239927,-155.2017542,-183.3220146,-7151.424807,-1719.174166,1
3.73,-177.3657533,174.729232,2.636521365,41.05697715,169.8829958,-7307.972672,-1791.476188,1
3.74,201.711148,-214.2147789,12.50363092,13.66381796,-84.03985598,-7430.810699,-1865.175494,1
