t,ia,ib,ic,isq,isd,vsd,vsq,ha,hb,hc,speed,angle,torque,output
0.81,73.84650974,148.4135163,-222.2600261,0.03787873,226.3911009,140.3313662,200.7663011,0,1,0,94.24778639,76.10051245,0.00890468,0
0.82,66.0479401,-220.5551706,154.5072305,0.037867114,226.3911008,140.3313758,200.7662944,1,0,0,94.24778843,77.04299026,0.008901949,0
0.83,-180.7143222,208.4522468,-27.73792467,0.037861124,226.3911008,140.3313808,200.7662909,0,1,1,94.24778764,77.98546806,0.008900541,0
0.84,226.3539757,-116.72765,-109.6263257,0.037857525,226.3911008,140.3313839,200.7662887,1,1,0,94.24778398,78.92794586,0.008899695,0
0.85,-185.5341041,-19.5829418,205.1170459,0.037857628,226.3911008,140.3313839,200.7662887,1,0,1,94.24778072,79.87042366,0.008899719,0
0.86,73.84651061,148.4135156,-222.2600262,0.037859351,226.3911009,140.3313825,200.7662897,0,1,0,94.24777834,80.81290145,0.008900124,0
0.87,66.04794007,-220.5551706,154.5072306,0.037861315,226.3911009,140.3313809,200.7662908,1,0,0,94.24777809,81.75537924,0.008900586,0
0.88,-180.7143225,208.4522468,-27.73792434,0.037862306,226.3911009,140.3313801,200.7662914,0,1,1,94.24777827,82.69785704,0.008900819,0
0.89,226.3539759,-116.7276497,-109.6263262,0.037862865,226.3911009,140.3313796,200.7662918,1,1,0,94.24777891,83.64033483,0.00890095,0
0.9,-185.534104,-19.58294216,205.1170461,0.03786281,226.3911009,140.3313796,200.7662917,1,0,1,94.24777946,84.58281263,0.008900937,0
0.91,73.84651048,148.4135157,-222.2600262,0.037862495,226.3911009,140.3313799,200.7662916,0,1,0,94.24777984,85.52529043,0.008900863,0
0.92,66.04794007,-220.5551706,154.5072306,0.037862164,226.3911009,140.3313801,200.7662914,1,0,0,94.24777987,86.46776822,0.008900785,0
0.93,-180.7143224,208.4522468,-27.7379244,0.037862,226.3911009,140.3313803,200.7662913,0,1,1,94.24777983,87.41024602,0.008900747,0
0.94,226.3539758,-116.7276497,-109.6263261,0.037861914,226.3911009,140.3313803,200.7662912,1,1,0,94.24777972,88.35272382,0.008900727,0
0.95,-185.534104,-19.5829421,205.1170461,0.03786193,226.3911009,140.3313803,200.7662912,1,0,1,94.24777963,89.29520161,0.00890073,0
0.96,73.8465105,148.4135157,-222.2600262,0.037861987,226.3911009,140.3313803,200.7662913,0,1,0,94.24777957,90.23767941,0.008900744,0
